EmployeeID,Age,Gender,Department,Tenure,JobRole,Salary,JobSatisfaction,EngagementScore,PerformanceRating,WorkLifeBalance,DistanceFromHome,TrainingHours,Overtime,EducationLevel,Risk Category
E00050,59,Male,R&D,16,Manager,49464,10,76,5,4,16,41,No,Bachelor's,Low Risk
E00051,41,Male,Finance,10,Engineer,116228,3,34,1,1,32,22,Yes,High School,High Risk
E00052,36,Male,HR,14,Developer,45889,5,61,3,3,10,11,No,Bachelor's,Medium Risk
E00053,26,Female,Marketing,11,Engineer,42805,1,16,1,1,44,33,Yes,High School,High Risk
E00054,31,Female,Marketing,5,Engineer,50537,1,14,1,1,10,69,Yes,Master's,High Risk
E00055,26,Female,Finance,3,Developer,42394,5,72,3,3,24,39,No,Master's,Medium Risk
E00056,53,Male,R&D,1,Developer,86655,1,18,1,1,10,32,Yes,Master's,High Risk
E00057,43,Male,Finance,10,Technician,75424,8,95,4,5,11,27,No,High School,Low Risk
E00058,41,Male,Marketing,15,Technician,70946,8,84,4,5,41,74,Yes,Bachelor's,Low Risk
E00059,53,Female,Finance,1,Engineer,115441,10,84,5,4,41,94,No,Bachelor's,Low Risk
E00060,40,Male,Marketing,8,Manager,62829,6,59,2,2,42,36,No,High School,Medium Risk
E00061,50,Male,HR,16,Technician,44141,7,40,2,2,18,78,No,Master's,Medium Risk
E00062,34,Male,Sales,19,Developer,82840,8,85,4,4,47,84,Yes,High School,Low Risk
E00063,32,Female,R&D,9,Engineer,54335,1,31,1,1,6,96,Yes,Bachelor's,High Risk
E00064,28,Female,Marketing,14,Technician,55284,6,73,2,2,36,27,No,Master's,Medium Risk
E00065,39,Male,Finance,8,Developer,77338,8,93,5,4,15,36,Yes,High School,Low Risk
E00066,25,Female,R&D,13,Analyst,76944,5,61,2,2,24,92,No,Master's,Medium Risk
E00067,25,Male,HR,10,Analyst,92751,8,98,4,4,3,41,Yes,Bachelor's,Low Risk
E00068,35,Female,Marketing,9,Analyst,116849,2,0,1,1,3,55,Yes,High School,High Risk
E00069,51,Female,Finance,18,Developer,60507,9,97,4,4,32,34,No,Bachelor's,Low Risk
E00070,57,Female,Sales,11,Analyst,69141,1,26,1,1,21,70,Yes,Bachelor's,High Risk
E00071,50,Male,R&D,3,Developer,73111,6,62,2,2,1,72,No,Bachelor's,Medium Risk
E00072,33,Female,HR,11,Analyst,96282,9,78,4,4,29,48,No,High School,Low Risk
E00073,28,Female,Marketing,17,Technician,101029,9,77,5,5,1,77,No,Bachelor's,Low Risk
E00074,54,Male,Marketing,4,Manager,51091,2,7,1,1,36,15,Yes,High School,High Risk
E00075,44,Female,Finance,2,Analyst,107170,6,58,2,3,13,11,No,High School,Medium Risk
E00076,24,Female,R&D,3,Engineer,88897,6,44,2,3,26,68,Yes,High School,Medium Risk
E00077,31,Male,Marketing,14,Analyst,94649,5,66,3,3,38,75,No,Bachelor's,Medium Risk
E00078,35,Male,Marketing,5,Engineer,95801,10,96,4,5,6,60,No,Master's,Low Risk
E00079,42,Female,Finance,14,Manager,85773,4,54,3,2,39,46,No,Master's,Medium Risk
E00080,35,Male,Finance,1,Developer,107320,8,88,4,5,14,16,No,Bachelor's,Low Risk
E00081,23,Male,Marketing,12,Developer,117625,1,24,1,1,12,14,Yes,Bachelor's,High Risk
E00082,36,Male,Finance,2,Engineer,52666,6,56,3,2,32,84,Yes,Bachelor's,Medium Risk
E00083,46,Female,Sales,20,Manager,47007,5,58,2,3,40,42,No,High School,Medium Risk
E00084,38,Male,HR,16,Analyst,64420,9,92,5,5,18,43,Yes,High School,Low Risk
E00085,59,Female,HR,15,Analyst,61336,5,69,2,2,28,78,No,High School,Medium Risk
E00086,35,Female,R&D,13,Technician,84857,4,42,3,3,38,28,No,High School,Medium Risk
E00087,32,Female,Sales,6,Technician,55703,5,66,3,3,18,77,No,Master's,Medium Risk
E00088,59,Female,Marketing,17,Manager,60271,4,59,3,3,42,86,Yes,Bachelor's,Medium Risk
E00089,36,Male,HR,7,Analyst,73483,2,28,1,1,31,38,Yes,High School,High Risk
E00090,29,Male,Sales,10,Engineer,84893,7,47,2,3,37,51,No,High School,Medium Risk
E00091,26,Male,Marketing,18,Manager,90091,10,78,4,5,12,85,No,Master's,Low Risk
E00092,26,Male,HR,8,Manager,57490,5,58,2,3,3,55,Yes,Bachelor's,Medium Risk
E00093,58,Female,Finance,15,Analyst,91739,6,68,3,3,18,71,No,Bachelor's,Medium Risk
E00094,24,Male,Marketing,3,Engineer,97784,4,43,3,2,31,80,No,High School,Medium Risk
E00095,44,Male,R&D,3,Technician,73632,5,40,3,2,1,66,No,Bachelor's,Medium Risk
E00096,24,Male,Finance,3,Technician,72376,5,59,2,2,14,97,Yes,Master's,Medium Risk
E00097,35,Female,HR,11,Technician,101193,4,53,2,3,29,60,Yes,Master's,Medium Risk
E00098,38,Female,Finance,14,Engineer,41025,4,41,3,2,47,95,No,High School,Medium Risk
E00099,22,Female,Finance,3,Analyst,80230,8,96,4,4,33,77,No,Master's,Low Risk
E00100,48,Female,HR,8,Analyst,85466,9,76,5,4,20,64,No,High School,Low Risk
E00101,40,Female,HR,11,Analyst,63418,10,83,5,4,46,17,No,High School,Low Risk
E00102,33,Male,R&D,3,Engineer,119574,5,69,3,2,30,84,No,High School,Medium Risk
E00103,58,Female,R&D,8,Developer,116907,7,65,2,3,36,18,No,Master's,Medium Risk
E00104,50,Male,HR,20,Developer,97002,4,40,2,2,28,65,No,Master's,Medium Risk
E00105,34,Male,Sales,14,Engineer,114693,3,18,1,1,35,14,Yes,High School,High Risk
E00106,46,Female,Finance,5,Engineer,66759,8,82,4,4,12,90,No,Bachelor's,Low Risk
E00107,48,Male,Finance,20,Technician,86334,4,71,3,2,27,59,No,Master's,Medium Risk
E00108,32,Male,HR,11,Developer,70142,5,64,2,2,24,38,No,Bachelor's,Medium Risk
E00109,35,Female,R&D,19,Engineer,85911,9,91,4,5,18,14,No,Bachelor's,Low Risk
E00110,57,Male,R&D,1,Developer,99187,8,95,4,5,3,13,No,Bachelor's,Low Risk
E00111,41,Male,Marketing,2,Engineer,86411,9,100,4,4,26,22,No,Bachelor's,Low Risk
E00112,33,Male,HR,20,Developer,118063,9,95,4,4,20,42,Yes,High School,Low Risk
E00113,58,Female,R&D,5,Developer,89911,2,5,1,1,22,72,Yes,Bachelor's,High Risk
E00114,32,Female,Marketing,8,Manager,62378,1,8,1,1,21,32,Yes,Bachelor's,High Risk
E00115,40,Female,R&D,16,Analyst,112770,4,43,2,2,7,63,Yes,High School,Medium Risk
E00116,49,Female,Marketing,10,Technician,75345,2,6,1,1,18,66,Yes,Bachelor's,High Risk
E00117,50,Male,HR,7,Technician,42803,1,3,1,1,33,11,Yes,Bachelor's,High Risk
E00118,57,Female,Sales,12,Engineer,110288,10,100,4,4,12,80,Yes,Master's,Low Risk
E00119,51,Female,Finance,14,Engineer,100516,2,39,1,1,37,60,Yes,Bachelor's,High Risk
E00120,33,Female,Sales,16,Engineer,44953,6,45,3,2,2,99,No,Bachelor's,Medium Risk
E00121,27,Female,R&D,11,Analyst,113522,3,29,1,1,34,50,Yes,Bachelor's,High Risk
E00122,59,Male,R&D,16,Developer,53511,1,18,1,1,15,78,Yes,Bachelor's,High Risk
E00123,26,Male,Sales,4,Developer,81023,5,54,2,2,13,49,No,Master's,Medium Risk
E00124,28,Male,Sales,18,Analyst,79664,8,90,5,4,5,33,No,Bachelor's,Low Risk
E00125,32,Female,Finance,7,Manager,53647,8,91,4,5,28,58,No,Bachelor's,Low Risk
E00126,28,Male,Sales,16,Engineer,43457,4,49,3,3,38,76,No,Master's,Medium Risk
E00127,43,Female,HR,20,Engineer,78727,1,23,1,1,47,33,Yes,Master's,High Risk
E00128,53,Male,Marketing,4,Engineer,58794,1,4,1,1,26,51,Yes,High School,High Risk
E00129,46,Female,Marketing,19,Manager,47914,10,78,5,5,2,71,No,High School,Low Risk
E00130,33,Male,Finance,5,Analyst,58234,4,64,3,2,37,98,No,Bachelor's,Medium Risk
E00131,35,Female,Finance,12,Analyst,114031,5,66,3,2,15,54,Yes,Bachelor's,Medium Risk
E00132,51,Male,Finance,12,Technician,43217,9,90,4,4,8,42,No,High School,Low Risk
E00133,58,Female,Marketing,9,Manager,100058,8,79,4,4,9,59,No,Bachelor's,Low Risk
E00134,54,Male,Marketing,14,Developer,119344,7,53,2,3,34,57,No,High School,Medium Risk
E00135,36,Male,Sales,5,Manager,92055,1,1,1,1,12,18,Yes,Master's,High Risk
E00136,45,Male,Finance,2,Developer,43433,7,74,3,2,7,46,No,Bachelor's,Medium Risk
E00137,41,Male,Finance,15,Engineer,114656,5,55,3,2,46,23,No,High School,Medium Risk
E00138,33,Male,HR,18,Manager,85535,6,45,3,3,33,58,Yes,High School,Medium Risk
E00139,29,Male,Sales,16,Technician,107444,4,61,3,2,7,11,Yes,Master's,Medium Risk
E00140,43,Female,Finance,3,Developer,84400,1,25,1,1,39,23,Yes,Bachelor's,High Risk
E00141,33,Female,HR,11,Technician,79221,1,29,1,1,1,84,Yes,Bachelor's,High Risk
E00142,42,Female,HR,2,Technician,108039,10,88,5,5,6,61,Yes,Bachelor's,Low Risk
E00143,52,Female,R&D,3,Technician,42617,7,57,3,2,47,65,No,Master's,Medium Risk
E00144,56,Female,HR,1,Technician,40222,4,63,2,2,33,57,Yes,Bachelor's,Medium Risk
E00145,31,Male,Sales,16,Manager,45888,10,89,5,4,45,38,No,Master's,Low Risk
E00146,50,Female,Sales,9,Technician,61251,8,92,5,4,26,48,No,Bachelor's,Low Risk
E00147,24,Male,Sales,10,Engineer,46518,5,68,2,3,22,44,No,Master's,Medium Risk
E00148,33,Male,Marketing,7,Developer,101241,5,72,3,2,18,89,No,High School,Medium Risk
E00149,41,Female,HR,5,Manager,103025,8,97,4,5,36,95,Yes,Bachelor's,Low Risk
E00150,42,Female,Sales,14,Engineer,107139,9,97,5,4,9,19,No,Bachelor's,Low Risk
E00151,56,Male,Finance,20,Developer,61240,1,37,1,1,49,59,Yes,High School,High Risk
E00152,31,Male,Sales,20,Manager,53467,8,87,4,4,28,82,No,Master's,Low Risk
E00153,33,Male,R&D,7,Analyst,117475,10,100,4,5,35,18,Yes,High School,Low Risk
E00154,23,Female,R&D,7,Analyst,52371,5,52,2,2,30,84,Yes,Bachelor's,Medium Risk
E00155,59,Male,HR,15,Engineer,48589,1,31,1,1,34,52,Yes,Bachelor's,High Risk
E00156,40,Female,Finance,8,Developer,106681,9,87,4,4,10,87,Yes,High School,Low Risk
E00157,22,Male,Sales,5,Engineer,53019,4,70,3,3,3,34,No,Bachelor's,Medium Risk
E00158,43,Female,Marketing,14,Manager,111726,6,71,2,2,7,73,Yes,Master's,Medium Risk
E00159,31,Male,Finance,9,Technician,71125,10,95,5,5,15,69,No,Bachelor's,Low Risk
E00160,35,Female,Finance,5,Engineer,76457,4,56,2,2,46,82,No,High School,Medium Risk
E00161,33,Male,Marketing,15,Engineer,68110,6,67,2,3,44,51,Yes,Master's,Medium Risk
E00162,37,Female,R&D,10,Manager,76239,6,53,3,2,46,87,No,Bachelor's,Medium Risk
E00163,48,Male,R&D,7,Manager,97631,5,67,3,3,24,89,No,Bachelor's,Medium Risk
E00164,39,Male,Finance,20,Manager,53282,4,47,3,3,7,29,Yes,Bachelor's,Medium Risk
E00165,30,Male,Marketing,20,Analyst,44180,9,79,4,5,35,15,No,Master's,Low Risk
E00166,33,Male,Sales,11,Engineer,86791,1,39,1,1,45,47,Yes,Bachelor's,High Risk
E00167,23,Female,Sales,6,Manager,89886,5,66,3,3,35,12,Yes,Bachelor's,Medium Risk
E00168,32,Male,R&D,20,Engineer,115770,9,97,4,4,27,86,No,High School,Low Risk
E00169,28,Male,Sales,19,Manager,47090,9,96,5,5,39,82,No,Master's,Low Risk
E00170,23,Female,Marketing,1,Manager,66036,7,71,3,2,4,49,Yes,Bachelor's,Medium Risk
E00171,29,Male,Sales,6,Developer,75746,5,57,2,2,30,95,Yes,Bachelor's,Medium Risk
E00172,29,Female,Finance,16,Developer,58369,10,81,5,5,7,20,No,High School,Low Risk
E00173,55,Male,Sales,16,Technician,81517,7,60,2,3,10,29,No,High School,Medium Risk
E00174,44,Female,HR,7,Analyst,102411,10,100,5,5,35,21,No,Bachelor's,Low Risk
E00175,59,Male,HR,6,Engineer,48033,5,65,3,2,31,60,No,High School,Medium Risk
E00176,45,Male,Marketing,18,Developer,57952,10,76,4,4,32,21,Yes,High School,Low Risk
E00177,30,Female,Sales,9,Developer,77549,4,68,3,2,24,10,No,High School,Medium Risk
E00178,35,Female,Marketing,13,Developer,61774,7,45,3,3,2,12,No,High School,Medium Risk
E00179,38,Female,Finance,14,Analyst,111651,2,33,1,1,16,19,Yes,Bachelor's,High Risk
E00180,27,Female,Finance,4,Manager,54851,8,85,4,4,33,47,Yes,Bachelor's,Low Risk
E00181,47,Female,Finance,11,Engineer,64046,6,47,3,2,31,85,Yes,High School,Medium Risk
E00182,27,Female,Sales,10,Engineer,60104,10,77,5,5,4,23,No,Master's,Low Risk
E00183,47,Female,Marketing,8,Developer,86454,2,25,1,1,4,35,Yes,High School,High Risk
E00184,53,Male,R&D,20,Technician,85934,3,20,1,1,29,29,Yes,Bachelor's,High Risk
E00185,47,Male,Marketing,7,Technician,50248,10,99,4,5,4,77,Yes,Bachelor's,Low Risk
E00186,34,Female,Marketing,19,Manager,57453,5,50,3,2,42,42,No,Bachelor's,Medium Risk
E00187,48,Male,Sales,15,Developer,98897,1,33,1,1,42,26,Yes,High School,High Risk
E00188,43,Female,Marketing,5,Developer,89496,6,71,3,2,9,20,Yes,High School,Medium Risk
E00189,36,Male,HR,20,Manager,58854,6,44,2,3,44,90,Yes,Bachelor's,Medium Risk
E00190,36,Male,HR,17,Technician,84336,8,85,5,4,4,69,Yes,Bachelor's,Low Risk
E00191,28,Male,HR,19,Technician,49873,8,79,4,4,35,21,Yes,Bachelor's,Low Risk
E00192,34,Male,Marketing,2,Developer,42916,1,17,1,1,24,62,Yes,Master's,High Risk
E00193,35,Male,Marketing,20,Technician,59955,3,1,1,1,1,47,Yes,Bachelor's,High Risk
E00194,25,Male,HR,8,Developer,66596,4,64,2,3,24,52,No,Bachelor's,Medium Risk
E00195,26,Male,Marketing,3,Technician,113767,4,68,3,3,36,83,No,Bachelor's,Medium Risk
E00196,45,Male,Marketing,4,Analyst,112642,5,63,2,3,34,97,No,High School,Medium Risk
E00197,35,Male,Finance,9,Engineer,54208,5,53,3,3,22,65,No,Bachelor's,Medium Risk
E00198,43,Female,Sales,12,Engineer,100189,3,29,1,1,23,26,Yes,High School,High Risk
E00199,53,Female,HR,10,Developer,83295,1,32,1,1,48,25,Yes,High School,High Risk
E00200,29,Male,R&D,5,Engineer,65526,5,56,2,3,19,35,No,Bachelor's,Medium Risk
E00201,39,Male,Sales,5,Developer,53103,7,62,2,2,4,11,No,Master's,Medium Risk
E00202,42,Male,HR,18,Analyst,53530,10,77,4,5,3,27,No,High School,Low Risk
E00203,34,Female,HR,19,Developer,63858,10,82,4,4,39,73,Yes,Bachelor's,Low Risk
E00204,37,Female,Sales,16,Technician,114580,3,9,1,1,9,13,Yes,Bachelor's,High Risk
E00205,26,Male,R&D,5,Engineer,43940,7,56,2,2,36,34,No,Bachelor's,Medium Risk
E00206,37,Male,HR,9,Technician,74935,9,83,4,5,39,39,No,Bachelor's,Low Risk
E00207,25,Female,Sales,16,Developer,49301,10,75,4,4,3,57,No,Master's,Low Risk
E00208,48,Female,R&D,4,Analyst,82577,5,45,3,3,5,81,Yes,Master's,Medium Risk
E00209,36,Female,Sales,14,Engineer,43259,10,87,5,4,21,47,No,High School,Low Risk
E00210,53,Male,Sales,20,Developer,76091,8,84,4,4,23,46,No,Master's,Low Risk
E00211,33,Female,HR,8,Manager,43681,5,68,2,2,40,52,Yes,Bachelor's,Medium Risk
E00212,36,Male,R&D,20,Developer,91910,4,51,3,3,18,90,No,Bachelor's,Medium Risk
E00213,31,Female,Marketing,11,Technician,66973,7,68,2,3,32,51,No,High School,Medium Risk
E00214,28,Female,Sales,20,Analyst,68559,8,97,4,4,7,20,Yes,Bachelor's,Low Risk
E00215,48,Male,Finance,10,Analyst,98781,4,46,2,2,22,55,No,Bachelor's,Medium Risk
E00216,22,Male,Finance,9,Technician,81878,10,78,5,5,19,12,No,High School,Low Risk
E00217,37,Male,R&D,12,Manager,118629,5,56,2,3,43,11,No,High School,Medium Risk
E00218,32,Male,Marketing,4,Engineer,62821,4,64,2,2,22,40,No,Master's,Medium Risk
E00219,25,Male,R&D,9,Developer,74694,6,55,3,2,39,66,No,High School,Medium Risk
E00220,49,Male,Sales,4,Engineer,50545,2,34,1,1,20,74,Yes,High School,High Risk
E00221,48,Male,Finance,15,Analyst,45177,6,58,3,3,17,91,No,Master's,Medium Risk
E00222,45,Male,R&D,9,Developer,109746,4,40,3,2,43,67,Yes,Master's,Medium Risk
E00223,46,Male,HR,4,Analyst,109516,10,79,5,5,15,68,No,Bachelor's,Low Risk
E00224,55,Female,Finance,20,Analyst,104185,6,62,3,2,40,98,No,High School,Medium Risk
E00225,48,Male,Finance,20,Technician,83913,8,88,5,5,15,41,No,Master's,Low Risk
E00226,34,Male,Sales,3,Analyst,45200,9,80,4,4,42,65,No,Bachelor's,Low Risk
E00227,31,Male,Sales,12,Engineer,72727,3,20,1,1,27,35,Yes,High School,High Risk
E00228,31,Male,R&D,20,Analyst,94817,7,74,2,2,35,17,No,High School,Medium Risk
E00229,48,Male,Sales,17,Manager,72962,3,35,1,1,34,24,Yes,High School,High Risk
E00230,49,Female,R&D,15,Technician,117741,4,54,2,2,19,58,Yes,High School,Medium Risk
E00231,33,Female,R&D,8,Developer,71682,4,47,3,3,21,39,No,Bachelor's,Medium Risk
E00232,49,Male,R&D,4,Engineer,51608,4,59,2,2,47,47,No,Master's,Medium Risk
E00233,44,Male,Finance,7,Technician,91452,7,43,2,3,29,12,No,High School,Medium Risk
E00234,31,Male,HR,3,Analyst,50417,5,73,3,3,33,30,No,High School,Medium Risk
E00235,57,Female,Finance,18,Engineer,90749,10,86,5,4,46,27,No,High School,Low Risk
E00236,48,Female,Sales,13,Engineer,87236,6,73,2,3,28,50,No,Bachelor's,Medium Risk
E00237,45,Male,HR,16,Developer,83359,10,90,4,5,22,14,Yes,Bachelor's,Low Risk
E00238,48,Male,Sales,11,Analyst,87007,9,98,5,4,32,16,Yes,Master's,Low Risk
E00239,41,Male,Sales,4,Manager,106287,5,42,3,3,22,80,Yes,Master's,Medium Risk
E00240,52,Male,Finance,12,Engineer,109479,10,85,5,4,47,14,No,High School,Low Risk
E00241,38,Male,Marketing,1,Analyst,117271,2,25,1,1,10,93,Yes,Bachelor's,High Risk
E00242,56,Female,Marketing,17,Developer,109029,3,12,1,1,13,79,Yes,High School,High Risk
E00243,32,Male,Finance,6,Manager,41957,2,1,1,1,14,37,Yes,High School,High Risk
E00244,27,Female,Finance,19,Technician,42876,7,53,2,2,38,64,No,High School,Medium Risk
E00245,22,Male,Marketing,3,Technician,47680,10,77,4,5,5,40,No,Master's,Low Risk
E00246,56,Female,R&D,15,Technician,90387,2,12,1,1,26,49,Yes,Bachelor's,High Risk
E00247,36,Male,Marketing,10,Technician,76954,5,62,2,3,34,59,No,Master's,Medium Risk
E00248,26,Male,HR,7,Engineer,61779,3,25,1,1,2,12,Yes,High School,High Risk
E00249,56,Male,R&D,5,Engineer,59179,3,4,1,1,31,33,Yes,Bachelor's,High Risk
E00250,27,Male,Marketing,13,Developer,70632,1,4,1,1,26,35,Yes,Bachelor's,High Risk
E00251,49,Male,Sales,9,Analyst,51007,9,77,4,5,25,31,No,Master's,Low Risk
E00252,24,Male,Finance,4,Technician,80392,7,71,3,3,43,93,No,High School,Medium Risk
E00253,51,Female,Sales,3,Technician,106158,3,36,1,1,49,13,Yes,Bachelor's,High Risk
E00254,22,Female,Marketing,14,Analyst,90275,4,49,2,3,32,64,No,Master's,Medium Risk
E00255,45,Male,HR,3,Developer,83341,8,80,4,5,37,41,Yes,Bachelor's,Low Risk
E00256,37,Male,R&D,9,Engineer,58444,7,70,3,3,41,64,No,Master's,Medium Risk
E00257,26,Female,Marketing,10,Developer,98315,1,23,1,1,11,37,Yes,High School,High Risk
E00258,26,Male,Sales,9,Developer,95342,6,55,2,3,34,53,No,Master's,Medium Risk
E00259,49,Male,Sales,12,Technician,119578,6,72,3,2,49,70,No,High School,Medium Risk
E00260,37,Female,Sales,7,Technician,67413,10,76,4,4,14,27,Yes,Bachelor's,Low Risk
E00261,50,Female,Finance,17,Engineer,95219,6,73,2,2,29,53,Yes,Master's,Medium Risk
E00262,40,Male,R&D,11,Engineer,101681,3,37,1,1,29,46,Yes,High School,High Risk
E00263,38,Female,Marketing,5,Manager,113494,9,88,4,4,1,83,No,Bachelor's,Low Risk
E00264,43,Male,HR,9,Engineer,69245,5,62,3,3,32,33,No,Bachelor's,Medium Risk
E00265,35,Male,Marketing,6,Analyst,96705,3,25,1,1,6,84,Yes,High School,High Risk
E00266,32,Female,Sales,20,Analyst,100717,6,56,3,2,34,36,No,High School,Medium Risk
E00267,46,Male,R&D,10,Manager,71122,5,67,3,2,18,56,No,Master's,Medium Risk
E00268,41,Female,R&D,18,Analyst,118966,5,47,2,2,41,88,No,Bachelor's,Medium Risk
E00269,36,Female,R&D,16,Developer,97359,4,72,3,3,40,91,No,Bachelor's,Medium Risk
E00270,56,Male,Finance,8,Technician,65699,8,87,5,4,40,74,No,Master's,Low Risk
E00271,43,Female,R&D,17,Engineer,100498,3,5,1,1,13,90,Yes,High School,High Risk
E00272,23,Male,Finance,14,Engineer,79727,1,36,1,1,5,16,Yes,Master's,High Risk
E00273,53,Female,Marketing,8,Technician,80470,1,8,1,1,18,33,Yes,Bachelor's,High Risk
E00274,30,Male,R&D,15,Analyst,49797,1,0,1,1,41,47,Yes,High School,High Risk
E00275,50,Female,Marketing,4,Technician,74148,4,73,2,2,13,50,No,High School,Medium Risk
E00276,53,Male,HR,10,Developer,86346,7,60,3,3,1,88,No,High School,Medium Risk
E00277,54,Female,Marketing,3,Manager,77071,7,71,2,2,31,91,No,Bachelor's,Medium Risk
E00278,56,Female,Marketing,12,Developer,46753,6,66,2,2,41,37,No,Bachelor's,Medium Risk
E00279,29,Female,HR,12,Developer,113649,7,65,2,2,42,47,No,High School,Medium Risk
E00280,37,Male,Marketing,11,Analyst,70591,6,43,3,2,13,56,No,High School,Medium Risk
E00281,37,Female,Finance,1,Developer,94939,1,9,1,1,28,43,Yes,Bachelor's,High Risk
E00282,44,Male,Marketing,9,Technician,94681,7,52,3,3,46,95,No,Master's,Medium Risk
E00283,41,Male,Sales,17,Engineer,107431,7,65,3,3,27,48,No,High School,Medium Risk
E00284,57,Male,Sales,1,Engineer,52850,8,93,5,4,18,14,Yes,High School,Low Risk
