EmployeeID,Age,Gender,Department,Tenure,JobRole,Salary,JobSatisfaction,EngagementScore,PerformanceRating,Overtime,DistanceFromHome,EducationLevel,TrainingHours,WorkLifeBalance
E00074,28,Female,HR,10,R&D Engineer,56586,3,62,4,Yes,25,Master's,30,2
E00075,30,Male,R&D,1,HR Specialist,45375,3,87,5,No,17,PhD,41,5
E00076,45,Female,Finance,4,R&D Engineer,74327,3,53,2,Yes,12,PhD,38,3
E00077,22,Male,Finance,10,Sales Executive,50691,1,74,3,No,24,Bachelor's,62,1
E00078,29,Male,Finance,3,Analyst,43874,1,91,1,No,2,PhD,47,3
E00079,45,Male,Marketing,16,R&D Engineer,102119,1,89,1,Yes,8,PhD,20,1
E00080,32,Male,HR,18,Sales Executive,57605,3,95,5,No,16,Master's,64,1
E00081,38,Female,HR,12,R&D Engineer,95017,1,66,3,Yes,7,Bachelor's,37,5
E00082,29,Female,Sales,19,Manager,57228,2,55,4,Yes,20,PhD,44,3
E00083,56,Male,HR,9,R&D Engineer,78698,2,73,1,No,4,Bachelor's,79,4
E00084,56,Male,Sales,5,R&D Engineer,74515,4,85,5,No,20,Bachelor's,63,2
E00085,54,Male,Sales,5,HR Specialist,49978,4,76,2,No,20,Bachelor's,50,2
E00086,26,Female,Marketing,8,Sales Executive,106967,5,58,3,Yes,21,Master's,68,2
E00087,49,Female,HR,7,Manager,93289,3,64,4,No,25,Bachelor's,53,2
E00088,28,Male,HR,19,HR Specialist,116321,2,67,1,Yes,25,Master's,46,5
E00089,30,Male,Marketing,18,Sales Executive,71190,5,74,3,No,28,Bachelor's,60,2
E00090,29,Male,Marketing,15,Manager,112190,3,100,3,No,24,High School,41,4
E00091,33,Female,HR,1,R&D Engineer,102455,1,91,2,No,1,PhD,59,3
E00092,55,Male,HR,7,Developer,73105,3,63,3,No,6,High School,59,3
E00093,54,Female,Sales,19,HR Specialist,110563,1,56,2,No,14,Master's,32,1
E00094,44,Female,IT,5,Manager,117811,3,78,1,No,28,PhD,38,1
E00095,45,Female,R&D,8,Developer,103742,1,51,5,Yes,11,High School,44,4
E00096,58,Male,Sales,5,Sales Executive,70213,1,88,2,No,27,PhD,54,3
E00097,56,Female,Finance,5,Developer,84340,3,53,5,No,2,Master's,40,3
E00098,43,Female,Finance,5,R&D Engineer,42707,2,57,5,Yes,6,Bachelor's,76,4
E00099,48,Male,IT,11,HR Specialist,48695,5,57,3,Yes,28,Bachelor's,21,1
E00100,56,Male,R&D,7,Analyst,88630,1,72,4,No,18,High School,35,4
E00101,22,Male,Marketing,2,Sales Executive,102667,5,77,2,Yes,18,High School,40,1
E00102,56,Female,Finance,17,Developer,51450,5,83,2,No,5,Master's,38,3
E00103,58,Female,Marketing,11,Manager,71370,1,53,4,No,4,Bachelor's,41,3
E00104,35,Male,Marketing,5,Analyst,82589,4,73,2,No,23,PhD,21,3
E00105,24,Female,Sales,7,Analyst,91313,5,57,5,Yes,9,Bachelor's,75,5
E00106,22,Male,Marketing,1,Sales Executive,103015,1,50,4,No,11,PhD,42,1
E00107,26,Male,IT,9,Developer,63245,3,65,1,No,25,High School,39,4
E00108,47,Female,Sales,11,HR Specialist,87892,4,80,4,Yes,15,Master's,71,2
E00109,35,Female,IT,12,Developer,70934,2,73,1,Yes,1,High School,77,5
E00110,48,Female,Marketing,10,Developer,46852,3,75,5,No,14,PhD,43,1
E00111,30,Female,Finance,11,Sales Executive,44589,1,61,3,No,4,Master's,46,4
E00112,36,Male,R&D,1,Sales Executive,103277,3,93,5,No,20,PhD,29,3
E00113,36,Male,Marketing,5,Manager,75138,2,94,4,No,2,Master's,36,4
E00114,47,Female,IT,15,HR Specialist,73183,3,67,4,No,13,PhD,21,4
E00115,34,Female,HR,10,Sales Executive,85059,5,64,3,No,22,Master's,72,2
E00116,53,Female,HR,12,Manager,96179,5,85,2,No,1,PhD,57,3
E00117,53,Male,Finance,14,R&D Engineer,110118,3,75,2,No,1,PhD,50,1
E00118,25,Male,R&D,19,Analyst,77497,5,87,3,No,2,High School,56,1
E00119,51,Female,IT,10,Manager,64350,4,59,2,No,11,PhD,77,2
E00120,58,Male,Finance,12,HR Specialist,59785,1,73,4,Yes,26,High School,49,5
E00121,44,Male,Sales,18,Manager,92412,5,70,1,No,4,PhD,36,3
E00122,36,Male,Marketing,19,R&D Engineer,116852,1,56,2,Yes,8,High School,56,2
E00123,50,Male,Sales,4,Manager,75335,2,94,2,No,20,High School,40,5
E00124,57,Female,HR,19,Sales Executive,70666,5,55,2,Yes,8,High School,38,2
E00125,34,Female,Marketing,14,HR Specialist,68487,3,96,1,Yes,7,Master's,64,4
E00126,53,Female,Sales,8,Manager,86237,3,95,3,No,19,PhD,43,4
E00127,28,Female,HR,4,Developer,85557,2,82,5,No,5,Bachelor's,37,4
E00128,43,Male,R&D,16,Manager,44497,2,70,5,No,6,Master's,29,3
E00129,49,Female,Sales,12,Analyst,114552,1,70,3,No,10,Bachelor's,74,1
E00130,23,Female,Marketing,18,Analyst,96839,5,99,2,Yes,5,Master's,22,4
E00131,27,Female,Sales,12,Manager,50703,3,58,3,Yes,14,PhD,73,2
E00132,49,Female,Marketing,18,R&D Engineer,107609,5,79,1,Yes,7,PhD,39,2
E00133,49,Female,Sales,4,Manager,48340,3,99,5,Yes,7,High School,36,5
E00134,41,Male,Finance,16,Developer,111727,4,77,3,No,2,PhD,36,5
E00135,51,Female,R&D,18,Manager,67186,1,97,5,No,24,High School,63,1
E00136,32,Male,Sales,19,Sales Executive,66045,2,70,5,Yes,2,Master's,24,4
E00137,49,Male,Sales,16,HR Specialist,60294,4,59,3,Yes,2,PhD,66,3
E00138,46,Male,Finance,3,R&D Engineer,54378,1,56,2,No,28,High School,75,1
E00139,54,Male,HR,17,Developer,56001,3,72,1,No,5,PhD,69,3
E00140,22,Male,Marketing,3,Manager,77437,5,87,5,Yes,28,Bachelor's,70,1
E00141,48,Male,IT,13,R&D Engineer,44099,2,74,5,No,8,High School,35,5
E00142,34,Female,HR,6,Sales Executive,102164,5,64,4,No,25,PhD,20,2
E00143,24,Male,Marketing,19,R&D Engineer,105290,5,76,2,No,5,PhD,59,3
E00144,27,Female,Sales,9,Manager,114800,4,52,1,Yes,25,High School,59,4
E00145,29,Male,HR,19,Developer,101434,2,88,5,No,9,Master's,39,1
E00146,48,Male,Sales,11,Developer,86330,5,67,2,Yes,26,PhD,21,1
E00147,30,Male,HR,3,Analyst,85131,1,58,1,Yes,9,Bachelor's,72,4
E00148,58,Female,HR,15,Analyst,64907,3,54,2,Yes,27,High School,23,2
E00149,54,Male,IT,16,Manager,100315,4,74,1,Yes,13,High School,55,3
E00150,45,Male,Finance,3,HR Specialist,56382,4,64,4,No,8,Master's,50,3
E00151,36,Female,HR,5,Sales Executive,89640,2,64,4,No,12,PhD,56,2
E00152,53,Male,Sales,7,Analyst,91579,3,65,4,Yes,22,Bachelor's,29,2
E00153,53,Male,IT,9,Analyst,96092,4,87,1,No,23,Master's,42,3
E00154,45,Male,HR,1,HR Specialist,47463,4,73,3,Yes,4,High School,69,3
E00155,33,Female,Finance,19,R&D Engineer,66738,1,86,4,Yes,6,High School,66,1
E00156,23,Male,Sales,14,Developer,52084,4,63,1,No,15,PhD,59,3
E00157,24,Male,IT,15,Manager,77914,4,98,3,Yes,12,High School,33,3
E00158,58,Female,Marketing,3,Manager,48928,3,80,5,Yes,4,Master's,65,2
E00159,38,Female,R&D,4,Sales Executive,69155,2,80,4,Yes,14,PhD,24,2
E00160,23,Male,Finance,17,HR Specialist,105744,3,91,5,No,10,High School,45,5
E00161,23,Male,Marketing,14,R&D Engineer,95231,3,93,3,No,8,High School,45,1
E00162,49,Male,Marketing,7,HR Specialist,90282,4,70,1,No,9,High School,43,2
E00163,44,Male,IT,8,HR Specialist,108091,4,71,3,No,1,High School,28,1
E00164,58,Female,IT,16,Developer,101294,3,94,2,No,17,PhD,69,2
E00165,53,Female,IT,16,HR Specialist,95917,2,70,4,No,16,PhD,66,1
E00166,54,Female,Marketing,14,Developer,44421,5,82,3,Yes,4,High School,78,5
E00167,22,Male,R&D,17,Manager,74491,1,82,5,Yes,26,Bachelor's,66,1
E00168,40,Female,Sales,5,Developer,115001,5,85,3,No,8,Master's,69,3
E00169,23,Female,IT,9,Manager,113343,1,80,3,Yes,16,PhD,52,5
E00170,47,Male,Finance,3,Sales Executive,110705,1,65,4,Yes,17,Master's,66,4
E00171,53,Male,IT,5,HR Specialist,117791,2,97,2,No,25,PhD,52,1
E00172,27,Male,R&D,18,Sales Executive,100741,2,79,1,No,8,Bachelor's,40,5
E00173,53,Male,IT,10,HR Specialist,102673,1,65,2,No,24,PhD,62,2
E00174,25,Male,R&D,1,R&D Engineer,96581,1,60,4,No,6,Master's,73,2
E00175,32,Male,IT,17,Sales Executive,82441,3,85,2,Yes,15,Bachelor's,31,5
E00176,38,Female,Marketing,8,Analyst,85798,1,96,3,Yes,20,High School,38,1
E00177,59,Male,R&D,17,Analyst,78605,2,86,1,No,8,PhD,43,2
E00178,45,Male,Sales,18,Developer,49119,3,75,3,No,15,Master's,70,4
E00179,26,Female,IT,5,R&D Engineer,92816,1,86,1,No,13,Master's,34,5
E00180,55,Female,Marketing,7,Sales Executive,44944,3,61,1,No,11,PhD,50,4
E00181,27,Female,Finance,5,HR Specialist,92260,4,95,2,No,25,High School,27,3
E00182,43,Female,Sales,10,Manager,118592,1,93,4,Yes,4,PhD,26,1
E00183,32,Female,Marketing,6,Developer,51904,1,53,5,No,9,Master's,58,1
E00184,37,Male,R&D,7,R&D Engineer,83062,2,72,2,No,14,Bachelor's,59,3
E00185,54,Male,HR,3,Developer,116439,3,82,5,No,1,Master's,25,1
E00186,30,Female,Finance,10,R&D Engineer,102291,3,86,4,Yes,13,PhD,67,2
E00187,27,Female,Finance,6,Analyst,99112,1,72,3,Yes,14,High School,45,3
E00188,37,Female,HR,2,R&D Engineer,113446,1,81,4,No,12,Master's,20,3
E00189,50,Female,Marketing,2,Sales Executive,76106,2,92,4,Yes,1,Master's,76,5
E00190,24,Male,Marketing,6,Sales Executive,88856,1,68,2,Yes,4,Master's,76,2
E00191,41,Female,R&D,18,R&D Engineer,82907,4,99,4,Yes,11,Bachelor's,60,2
E00192,57,Female,Finance,10,Developer,86132,2,69,4,Yes,28,High School,29,4
E00193,40,Male,Marketing,7,Analyst,114415,3,56,2,Yes,27,High School,34,3
E00194,47,Male,HR,17,Manager,41049,1,96,3,No,12,Bachelor's,20,4
E00195,24,Male,Marketing,4,Analyst,112062,4,99,5,Yes,28,Bachelor's,53,4
E00196,40,Female,Finance,12,Sales Executive,93816,3,81,2,Yes,9,High School,46,5
E00197,41,Female,Marketing,8,Manager,118420,5,56,4,Yes,1,High School,56,2
E00198,53,Male,Sales,9,Developer,88424,2,89,2,No,23,High School,46,3
E00199,28,Female,HR,10,Manager,43880,2,55,5,No,11,PhD,44,4
E00200,54,Female,HR,19,Developer,74937,2,81,1,Yes,2,High School,40,1
E00201,39,Male,IT,9,Analyst,70072,3,58,5,No,21,Master's,22,5
E00202,22,Male,Marketing,4,Manager,108944,2,93,3,Yes,4,High School,38,5
E00203,32,Male,R&D,16,HR Specialist,57480,2,98,4,Yes,7,PhD,77,5
E00204,49,Female,HR,1,Sales Executive,54890,3,75,5,Yes,21,Master's,61,2
E00205,46,Male,Marketing,10,Developer,75288,4,76,2,Yes,11,Bachelor's,50,4
E00206,44,Female,Sales,16,Manager,42036,5,67,1,No,5,Bachelor's,67,5
E00207,52,Female,Finance,5,Manager,92501,5,73,1,No,16,Master's,54,1
E00208,51,Female,Finance,3,R&D Engineer,108080,1,84,5,Yes,8,Master's,24,2
E00209,56,Male,IT,4,HR Specialist,114304,5,73,1,No,24,High School,24,2
E00210,28,Male,IT,10,R&D Engineer,107814,2,69,3,Yes,6,Master's,40,3
E00211,37,Male,R&D,2,R&D Engineer,62108,3,92,5,No,28,PhD,69,5
E00212,47,Female,HR,6,R&D Engineer,117618,1,100,5,No,2,PhD,66,2
E00213,23,Male,R&D,14,Analyst,46958,3,93,4,No,21,Master's,66,5
E00214,22,Male,HR,5,HR Specialist,112462,2,65,2,No,3,PhD,60,1
E00215,33,Female,HR,19,Manager,50896,5,68,4,No,23,High School,36,5
E00216,26,Female,Sales,15,Sales Executive,119322,2,58,2,No,20,PhD,63,4
E00217,58,Male,IT,17,Manager,106148,3,66,2,No,27,Bachelor's,67,4
E00218,53,Male,IT,12,Manager,80591,1,59,4,No,20,High School,61,1
E00219,30,Female,Finance,13,Manager,81870,5,52,2,No,26,High School,66,2
E00220,56,Female,IT,16,R&D Engineer,116580,5,97,3,No,21,High School,46,4
E00221,40,Female,IT,15,HR Specialist,44997,2,89,4,Yes,20,Bachelor's,76,3
E00222,37,Male,Sales,11,HR Specialist,69439,5,67,2,Yes,9,High School,54,1
E00223,24,Male,R&D,5,Developer,116407,2,60,1,No,10,PhD,46,1
E00224,41,Female,HR,18,Developer,110763,4,91,4,No,21,Master's,32,5
E00225,45,Male,R&D,13,R&D Engineer,73802,2,76,5,No,9,Master's,68,3
E00226,54,Male,Sales,11,R&D Engineer,104024,5,53,5,No,5,Master's,42,4
E00227,45,Male,Marketing,10,Developer,76298,4,94,1,No,22,Bachelor's,63,3
E00228,32,Female,Finance,15,Manager,105216,5,99,5,Yes,15,PhD,66,5
E00229,29,Male,Finance,7,Developer,90462,3,84,1,No,10,PhD,77,5
E00230,57,Female,Finance,12,Developer,78927,3,51,1,No,27,PhD,24,4
E00231,59,Male,R&D,18,Analyst,41034,4,59,2,No,4,High School,29,1
E00232,41,Female,HR,6,R&D Engineer,102468,1,94,3,No,24,PhD,30,4
E00233,56,Female,HR,9,R&D Engineer,108747,3,69,1,Yes,9,High School,78,1
E00234,46,Male,HR,16,HR Specialist,68877,5,80,1,No,12,High School,21,4
E00235,56,Male,Finance,8,Developer,48585,1,93,4,Yes,23,Master's,78,4
E00236,46,Female,Finance,12,HR Specialist,85058,3,86,2,No,8,PhD,70,4
E00237,50,Female,R&D,19,Sales Executive,40339,3,98,1,No,15,PhD,41,4
E00238,39,Male,R&D,16,R&D Engineer,54169,2,66,3,No,8,Master's,57,3
E00239,39,Female,Finance,4,Analyst,67416,5,76,3,No,6,PhD,67,5
E00240,23,Female,Marketing,16,Sales Executive,106301,5,54,4,Yes,11,PhD,41,1
E00241,56,Male,Marketing,7,R&D Engineer,101714,3,67,2,No,7,Bachelor's,48,4
E00242,37,Male,R&D,13,HR Specialist,79278,1,69,4,No,27,High School,29,1
E00243,57,Male,Finance,12,HR Specialist,82420,2,54,5,Yes,13,Master's,61,3
E00244,54,Male,HR,1,Sales Executive,99061,2,87,2,No,12,PhD,63,4
E00245,25,Female,HR,11,Developer,46903,1,90,4,No,16,Master's,71,3
E00246,54,Male,Marketing,17,Analyst,90757,2,68,2,Yes,22,Master's,50,1
E00247,35,Male,Marketing,6,HR Specialist,58165,2,96,1,No,11,Bachelor's,40,3
E00248,42,Male,Finance,2,Manager,72672,3,58,5,No,3,High School,78,3
E00249,41,Male,Finance,3,Analyst,68873,2,100,2,Yes,16,Bachelor's,53,1
E00250,29,Female,HR,2,Sales Executive,108437,2,67,2,Yes,29,Master's,59,3
E00251,28,Female,R&D,18,HR Specialist,86224,1,86,5,Yes,6,High School,53,1
E00252,24,Male,IT,13,HR Specialist,86556,2,97,1,No,24,High School,52,5
E00253,38,Male,R&D,19,R&D Engineer,79233,1,52,3,No,29,Master's,58,3
E00254,54,Male,HR,7,Sales Executive,82135,3,77,5,Yes,21,PhD,72,2
E00255,33,Male,R&D,16,Manager,85345,1,98,5,No,22,PhD,68,2
E00256,43,Female,HR,16,R&D Engineer,63950,2,52,4,Yes,22,Master's,23,4
E00257,43,Female,Finance,10,Manager,107954,1,62,1,No,24,Master's,36,3
E00258,51,Female,IT,7,HR Specialist,62837,3,61,1,No,22,Master's,30,3
E00259,59,Female,IT,16,Developer,64390,1,95,1,Yes,17,PhD,30,1
E00260,59,Male,Finance,10,Manager,74792,5,54,4,Yes,3,Master's,68,2
E00261,29,Female,Sales,14,Manager,102342,2,65,5,Yes,29,Master's,73,5
E00262,48,Female,Finance,9,Developer,77551,3,92,1,No,17,Master's,63,2
E00263,48,Male,Marketing,4,R&D Engineer,69429,3,100,1,No,15,PhD,68,4
E00264,55,Female,R&D,12,Manager,116027,4,68,1,Yes,5,Master's,48,1
E00265,42,Female,IT,17,Developer,84201,5,58,3,No,9,Bachelor's,69,1
E00266,51,Female,Finance,8,Sales Executive,99188,2,76,1,Yes,12,High School,66,1
E00267,54,Male,HR,4,R&D Engineer,47532,3,59,2,Yes,3,High School,47,4
E00268,49,Male,HR,8,Analyst,66901,1,74,3,Yes,21,Bachelor's,36,3
E00269,54,Male,R&D,9,Analyst,78603,2,94,3,No,10,Bachelor's,51,5
E00270,26,Male,HR,12,Sales Executive,98332,3,61,1,Yes,16,Master's,29,4
E00271,40,Female,Finance,16,Manager,83185,2,58,4,Yes,6,Bachelor's,46,1
E00272,25,Female,Sales,8,Analyst,55650,5,76,5,Yes,18,High School,25,5
E00273,56,Male,Marketing,15,Sales Executive,95961,5,87,4,No,16,Bachelor's,26,2
E00274,38,Male,HR,17,Analyst,57544,3,75,4,Yes,25,PhD,73,2
E00275,49,Male,Finance,13,Manager,105351,5,82,5,Yes,14,Master's,64,1
E00276,51,Female,Sales,14,R&D Engineer,78119,5,77,3,No,6,Bachelor's,29,5
E00277,50,Female,IT,15,Developer,99256,4,66,3,No,8,High School,53,3
E00278,27,Male,IT,9,Sales Executive,70253,2,95,4,No,14,Master's,78,4
E00279,56,Male,R&D,12,R&D Engineer,81550,2,68,5,Yes,27,High School,34,1
E00280,58,Male,Marketing,19,Analyst,65269,2,74,3,Yes,13,Master's,74,3
E00281,45,Male,Finance,9,Manager,77932,2,89,1,Yes,13,Bachelor's,55,2
E00282,50,Male,Finance,13,R&D Engineer,58472,4,91,2,Yes,4,PhD,39,5
E00283,52,Male,HR,18,Analyst,75530,2,100,2,No,20,High School,61,2
E00284,56,Male,Sales,4,Manager,102465,5,95,5,Yes,14,Master's,71,2
E00285,54,Male,Marketing,1,Manager,77765,5,72,3,No,21,Master's,73,2
E00286,42,Female,Sales,3,Manager,51994,5,68,4,Yes,29,Bachelor's,47,3
E00287,53,Male,Marketing,11,Manager,115495,3,65,1,Yes,21,Bachelor's,36,4
E00288,44,Female,Finance,2,Sales Executive,111992,5,74,4,No,8,Master's,39,4
E00289,54,Male,Finance,6,R&D Engineer,45327,1,66,4,Yes,24,PhD,77,1
E00290,24,Female,Marketing,3,Developer,118631,4,62,2,Yes,6,PhD,22,2
E00291,39,Male,Sales,10,Sales Executive,44872,1,58,5,No,2,Bachelor's,73,4
E00292,46,Male,R&D,9,Analyst,100706,5,77,2,No,26,High School,67,2
E00293,52,Female,IT,14,Sales Executive,103998,4,80,5,No,6,Master's,40,4
E00294,24,Male,IT,16,Sales Executive,79933,4,56,2,Yes,4,High School,36,5
E00295,45,Female,HR,18,Analyst,91715,2,56,4,No,12,PhD,22,5
E00296,53,Female,HR,4,Developer,47500,4,95,5,No,19,Bachelor's,75,2
E00297,43,Female,R&D,18,Sales Executive,102117,5,85,4,Yes,4,High School,20,5
E00298,44,Male,Sales,2,Manager,114254,1,58,5,No,9,Master's,35,3
E00299,23,Female,R&D,10,Sales Executive,81506,4,68,2,Yes,9,PhD,49,3
E00300,48,Male,Finance,12,Analyst,73113,2,61,2,Yes,12,PhD,51,5
E00301,23,Female,Sales,7,Developer,64630,5,85,2,Yes,9,Master's,28,5
E00302,47,Male,Marketing,16,Sales Executive,108207,2,76,5,No,16,Master's,73,5
E00303,38,Female,IT,17,Sales Executive,118887,2,83,3,Yes,13,Bachelor's,38,1
E00304,54,Female,HR,14,Analyst,41348,4,75,1,Yes,1,PhD,36,1
E00305,30,Male,Sales,18,HR Specialist,61380,2,87,5,Yes,9,Master's,63,2
E00306,50,Male,Sales,1,HR Specialist,97874,4,71,5,No,17,PhD,68,4
E00307,47,Male,Marketing,2,R&D Engineer,81075,2,70,3,Yes,12,Bachelor's,68,2
E00308,56,Male,Finance,14,Sales Executive,45730,3,56,2,Yes,18,Master's,66,3
E00309,46,Male,Finance,6,R&D Engineer,51068,5,87,4,No,7,Bachelor's,65,3
E00310,45,Male,IT,15,Manager,110027,4,56,1,No,16,PhD,33,2
E00311,34,Male,R&D,4,Sales Executive,62962,4,80,3,No,16,Master's,36,4
E00312,28,Male,R&D,9,R&D Engineer,65633,5,86,4,No,19,High School,72,4
E00313,57,Male,HR,15,HR Specialist,46359,4,93,4,No,5,Bachelor's,36,4
E00314,41,Female,Finance,5,Sales Executive,117355,5,63,5,Yes,17,Bachelor's,20,4
E00315,22,Female,Finance,6,Manager,75022,1,81,1,No,13,High School,38,2
E00316,29,Female,Finance,11,Developer,63831,3,75,1,No,22,High School,38,1
E00317,37,Female,R&D,13,Sales Executive,49183,4,57,1,Yes,23,Master's,78,4
E00318,35,Male,Sales,12,Analyst,113573,1,63,3,Yes,7,PhD,46,2
E00319,33,Female,Finance,7,Manager,67051,3,64,3,Yes,9,PhD,48,5
E00320,44,Female,R&D,12,Sales Executive,47326,2,66,5,No,29,Master's,47,5
E00321,36,Female,Marketing,10,HR Specialist,43045,3,67,1,Yes,28,Bachelor's,27,5
E00322,49,Male,R&D,3,R&D Engineer,114805,4,97,4,Yes,18,PhD,62,3
